type,description
Cartons [Tetra Pak or Similar],"What?
Cartons [Tetra Pak or Similar] are generally made of paperboard and small amounts of polyethylene with an aluminum foil lining, and are commonly know as Tetra Pak.
Where?
Cartons [Tetra Pak or Similar] should be placed in the household recycling bin.
Some Civic Amenity Sites also accept Cartons [Tetra Pak or Similar].  Check the Waste Services Locator on this site for further details.
Why?
Cartons [Tetra Pak or Similar] are currently accepted for recycling.
Recycling Cartons [Tetra Pak or Similar] reduces the extraction of limited raw materials, saves considerable amounts of energy and reduces carbon dioxide emissions.
How?
Make sure all Cartons [Tetra Pak or Similar] placed in the household recycling bin are clean and dry and placed loosely in the bin."
Jewellery,"What?
Jewellery and watches are accepted by many charities.
Broken and outdated jewellery can often be repaired and remodelled to make it fashionable and usable again.
Where?
Donate to charity. Many pieces of jewellery can be recycled or re-sold to raise valuable funds.
Always check the list of  items accepted by the various charities first as they do vary considerably.
Check Ireland’s repair director for jewellers that offer repair and remodelling services: http://www.repairmystuff.ie
How?
Always place jewellery for donation in a separate bag to keep the pieces together – otherwise, they may get lost in the sorting process."
Wet wipes,"What?
This is a soft plastic
Where?
This should be placed in the general waste bin.
Why?
Baby wipes, cosmetic wipes, bathroom cleaning wipes and moist toilet tissues are NOT recyclable and are NON flushable either even though some labels say they are! They should always be placed in your general waste bin.
General Comment / Tip
Why not try alternatives to single use disposable items such as wipes? Can you use a flannel or muslin square instead. These items can be washed and reused over & over."
Fabrics,"What?
Fabric is a textile or clothing.
Where?
Fabrics should be placed in a textile bank.
Why?
Once fabrics including clothes are placed in a textile bank they can be recycled or reused. Fabric and clothing if disposed of incorrectly can have a negative environmental impact.
Generally the carbon footprint of textile and clothing is quite high as the manufacturing process as global distribution impacts significantly on the environment.
It is important, where possible to reuse and recycle clothing and textiles and not dispose of them in the general waste bin.
General Comment / Tip
If you have NEW unused and unwanted items these can be donated to charity. Click here to find your local charity shop.
Check the Waste Services Locator on this site to find your nearest textile bank."
Irons,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Glasses (Spectacles),"Where
Many opticians take back unwanted or damaged spectacles for refurbishment and use by charities.
Some charities also accept glasses for distribution to developing countries.
Old glasses should not be placed in your recycling bin."
Paper towels,"What?
This is a paper or card
Where?
If used this should be placed in the food waste recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
If paper or card become wet or dirty on its way to the sorting facility it may not be recycled."
Shredded paper,"What?
This is a paper or card
Where?
This should be placed in the household recycling bin if you have small amounts. If you are running a business and have large amounts of paper waste you may want to consider procuring the services of a specialised company to process it.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
If paper or card become wet or dirty on its way to the sorting facility it may not be recycled."
Fridges & freezers,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Ironing boards,"What?
Ironing boards are generally made of metal and fabric and most can be recycled.
Where?
Ironing boards are generally accepted at most Civic Amenity Sites for recycling.
Check the Waste Services Locator for local details.
How?
Where accepted, remove the fabric cover and place in the ‘Textiles’ container for recycling.
Place the metal part of the ironing board in the ‘Metals’ container for recycling."
Deodorant,"What?
This can come in a few different forms; pressurised containers, roll on’s which can be glass or plastic and as a stick.
Where?
The are normally made of a few different materials so the general rule is, where possible take them apart.
How?
For pressurised containers make sure that all contents have been expelled, remove parts such as the lid and nozzle and all parts can be placed in the recycle bin.
Roll on’s and sticks – For glass containers, take them apart,the glass part can go to the bottle bank and other parts to the recycle bin. For plastic take them apart and all parts to the recycle bin"
Food & drink pouches,"What?
This is a composite
Where?
This should be placed in the general waste bin."
Telephones,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Garden chemicals,"What?
Some garden chemicals are hazardous and fall in the category of hazardous waste. This includes items such as some fertilizers, pesticides and herbicides.
Where?
This material should not be placed in your household bins.
Some Civic Amenity Sites accept household hazardous waste. Please check the Waste Services Locator for details of items accepted in a Civic Amenity Site near you. Some Local Authorities organise household hazardous waste collections also.
General Comment / Tip
It is very important to dispose of household hazardous wastes correctly, as they have the potential to contaminate the environment is not dealt with properly."
Lids,"What?
This can be plastic or a metal [Tins & Cans] – Bottle tops / caps, lids from jars
Where?
This should be placed in the household recycling bin."
Musical instruments,"General Comment / Tip
Musical instruments come in such a variety of shapes, sizes and materials that they are difficult to recycle.
However, some instruments may have metal parts, for instance, which are recyclable.
Alternatively, if they are still in good condition, consider the following options:
Pass them on…some charity shops will accept donations of instruments and sheet music.
Online: Advertise items for free at places such as Free Trade Ireland or Adverts.ie, Or sell them on websites like eBay and Done Deal.
Recycle them?
As musical instruments come in such a variety of shapes, sizes and materials they are difficult to recycle.
However, some instruments may have metal parts, for instance, which are recyclable.
You cannot recycle musical instruments in your household recycling bin, but you may be able to recycle some parts at the local civic amenity site.
If they are too complicated to disassemble, you should put them in the general waste bin."
Beverage cans,"What?
Most beverage cans are made of aluminium and a smaller number are made of tin-plated steel.
Where?
These should be placed in the household recycling bin but some Civic Amenity Sites and Bring Banks also accept beverage cans check out the Waste Services Locator on this site for further details.
Why?
Recycling beverage cans reduces the extraction of limited raw materials, saves considerable amounts of energy and reduces carbon dioxide emissions.
How?
Make sure all beverage cans placed in the household recycling bin are clean and dry and placed loosely in the bin.
You can leave labels on as these are removed through the recycling process.
General Comment / Tip
Look out for charities such as Every Can Counts at events and festivals: http://www.everycancounts.ie"
Stamps,"What?
This is a paper or card
Where?
This should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin
General Comment / Tip
If paper or card become wet or dirty on its way to the sorting facility it may not be recycled.
Some charities collect stamps as part of their fundraising efforts."
Hair dryers,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Buttons,"What?
Buttons come in all shapes and sizes and can be made from many different materials.
Where?
Rigid plastic buttons can be recycled and may be placed in the household recycling bin.
Buttons are often accepted at local charity shops as well.
General Comment / Tip
Buttons can be used for arts and crafts – consider dropping them into a local arts centre.
Remember it’s always handy to have random buttons in case you lose one"
Tea bags / leaves,"What?
The leaves are considered a food item but currently many tea bags may contain small amounts of plastic
Where?
If you use loose leaf tea then this can be emptied directly into the food waste recycling bin, if you are using bags you could tear them open placing the the bag part in the general waste bin and contents in the food waste recycling bin.
Why?
The small amount of plastic used make the glue holding the bag together heat resistant. Most manufactures are researching alternatives which should be on the market soon
Comment / Tips
Why not get yourself a tea strainer and buy loose leaf tea. Loose leaf tea can be purchased by weight so you could bring along your own caddy so no waste is created."
Egg shells,"What?
This is food waste.
Where?
This should be placed in the food waste recycling bin or home composted. Click here for information on home composting
General Comment / Tip
Make a wall of clean crushed egg shells around your plants to deter slugs, snails and caterpillars. Rinse eggshells before home composting to deter vermin."
Clingfilm,"What?
Clingfilm is a soft plastic and is currently unsuitable for kerbside collection for recycling.
Where?
Clingfilm should be placed in the general waste bin.
General Comment / Tip
Consider when appropriate using reusable material instead of clingfilm, for example there are alternatives such as beeswax wraps and silicone which can be found in many stores or online, they can be used over and over."
Mattress,"Where?
This should be brought to a civic amenity site, or mattress recycling project. Check the waste services locator on this site. Contact your local authority for information on local mattress recycling projects and special collections.
Further information is also available at http://www.crni.ie
General Comment / Tip
If you have NEW unused and unwanted items these can be donated to charity."
Tumble dryers,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Biscuit & sweet tins/tubs,"What?
Biscuit and sweet tins and tubs are made from metal or plastic.
Where?
These should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
Tins and tubs also make great storage containers."
Cooking oil,"What?
Cooking oil is a food waste.
Where?
If you have a Food Waste Recycling service small amounts of fats, oils and grease can be disposed of in the food waste recycling bin. Remember to remove packaging.  Soiled kitchen roll which has been used to clean a pan can also be placed in the food waste recycling bin.
Larger quantities of used cooking oil can be brought to most Civic Amenity Sites. Check the Waste Services Locator on this site.
 
General Comment / Tip
Fats, oils and greases should not be poured down sinks as they cause blockages.
Fats, oils and greases are not suitable for home composting."
Paper coffee cups,"What?
This is a composite
Where?
This should be placed in the general waste bin.
General Comment / Tip
The lids and sleeves can be placed into the recycling bin. Why not invest in a reusable cup and use this for drinks on the go or alternatively “sit & sip” your favourite beverage."
Wallpaper,"What?
This is a paper or card.
Where?
This can be placed in your recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
If paper or card become wet or dirty on its way to the sorting facility it may not be recycled. Some upcycling projects welcome donations of good quality material such as wallpaper . For more information see: http://www.crni.ie"
Plastic plant pots,"Where?
Check the map for your local civic amenity site with the list of items they accept."
Petrol,"What?
This is a hazardous material
Where?
Check the map to see if this is accepted at your local civic amenity site."
Computers,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Tea towels,"What?
Anything made of material or fabrics is a textile and should not be placed in your general or recycling bin.
Where?
Tea towels like other textiles should be placed in a clothing bank for recycling.
Why?
We need to keep clothes and textiles out of landfill because it helps to reduces greenhouse gases.
General Comment / Tip
If you have NEW, unwanted or barely used items these can be donated to charity. Old tea towels also make great dusters when cleaning or doing DIY around the house."
Newspapers,"What?
This is a paper or card
Where?
This should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
If paper or card become wet or dirty on its way to the sorting facility it may not be recycled."
Polystyrene,"What?
Expanded Polystyrene Foam (EPS)
Where?
This should be placed in the general waste bin.
General Comment / Tip
Expanded polystyrene is a material that is not commonly recycled, although a few civic amenity centres may accept it. Small amounts of polystyrene can be used in the bottom of plant pots before soil is added."
Clothing & textiles,"What?
Anything made of material or fabrics is a textile and should not be placed in your general or recycling bin.
Where?
Clothing and textiles should be placed in a clothing bank.
Why?
We need to keep clothes and textiles out of landfill because it helps to reduces greenhouse gases.
A lot of clothing is made of organic material, meaning that it is derived from natural sources and is biodegradable. But landfills lack the oxygen needed for organic materials to break down so, when clothing does end up in a landfill, it decomposes through anaerobic digestion.
General Comment / Tip
If you have NEW, unwanted or barely used items these can be donated to charity."
Cushions,"What?
Anything made of material or fabrics is a textile and should not be placed in your general or recycling bin.
Where?
Clothing and textiles should be placed in a clothing bank.
Why?
We need to keep clothes and textiles out of landfill because it helps to reduces greenhouse gases.
A lot of clothing is made of organic material, meaning that it is derived from natural sources and is biodegradable. But landfills lack the oxygen needed for organic materials to break down so, when clothing does end up in a landfill, it decomposes through anaerobic digestion.
General Comment / Tip
If you have NEW, unwanted or barely used items these can be donated to charity."
Vacuum Cleaner,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Kitchen foil,"What?
This is a metal like tins & cans but lighter.
Where?
This should be placed in the household recycling bin but only if clean and free of food residue.
Why?
Aluminium can be recycled over and over without losing any of its properties.
How?
All food residue must be removed, then place the foil in the bin clean, dry and loosely. Scrunch kitchen foil and tubs together to form a ball – the bigger the ball, the easier it is to recycle.
Aluminium foil & trays must be free of all food residue.
If tubs or foil are soiled they cannot be recycled and should be disposed of in the general waste bin."
Chest freezers,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Tablet computers,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Envelopes,"What?
This is paper or a composite if the envelope has a plastic window.
Where?
This should be placed in the household recycling bin.
How?
If there is a window this should be removed and place in the general waste, the remaining paper can be placed in the household recycling bin."
Food blender / mixer,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Aerosols,"Aersols

What?
Aerosols are generally pressurised cans like deodorant, air freshener or bug sprays.

Where?
These should be brought to your local civic amenity site and if this is not an option please place them in your general waste bin.
Why?
In Ireland, as per 2nd Schedule category 1 waste of The Waste Management Act, 1996,  aerosols fall into the category of hazardous waste and therefore cannot be placed in the household recycle bin."
Bicycles,"What?
Bicycles are generally made of metal or aluminium which is recyclable.
Where?
Check the waste services locator on this site for recycling options.  There are also bicycle refurbishment projects listed on www.crni.ie
General Comment / Tip
Even bicycles in poor condition can be repaired, refurbished and re-used. Check here for Ireland’s online repair directory.
However if your bicycle is beyond repair the main parts of your old bike can be recycled at your nearest civic amenity site."
Wrapping paper,"What?
Most varieties of wrapping paper are made from light card or printed paper. However shiny or metallic gift-wrap is made of plastic film.
Where?
Normal wrapping paper should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
Unsure if your shiny gift-wrap is recyclable? If the paper tears you can recycle it. Paper that needs cutting with a scissors is metallic and cannot be recycled."
School uniforms,"What?
Anything made of material or fabrics is a textile and should not be placed in your general or recycling bin.
Where?
Clothing and textiles should be placed in a clothing bank or donated to charity.
Why?
We need to keep clothes and textiles out of landfill. Landfills create greenhouse gases so reducing the quantity of materials disposed of in landfill is very important.
 
General Comment / Tip
If you have NEW, unwanted or barely used items these can be donated to charity. Some schools organise uniform swaps at end of year – why not suggest this at your school?"
Spectacles,"Where
Old glasses may be accepted by your Optician.
Some charities accept glasses for distribution to developing countries.
Old glasses should not be placed in your recycling bin."
Books,"What?
Books are made from paper and card.
Where?
Books should be placed in the household recycling bin.
Large volumes can be taken to most local civic amenity sites.
Check the waste services locator on this site.
General Comment / Tip
Why not pass them onto somebody else or donate them to charity."
Cassette players,"What?
This is an electrical item [WEEE].
Where?
Cassette players should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Tissues,"What?
Tissues are made from paper.
Where?
Used tissues should be placed in the general waste bin. Used kitchen towel can be placed in the food waste recycling bin."
Records,"What?
This is a composite
Where?
This should be placed in the general waste bin.
General Comment / Tip
Vinyl records are not accepted in your household recycling scheme, or at your local recycling centre. However, if they’re still in good condition, a charity shop might take them or you might be able to sell them.
Made from PVC, vinyl records are often ‘re-purposed’ into new stylish ornaments, wall art or tableware."
Tools (Electrical),"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Microwave,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Games & toys,"How?
Old games & toys that are still fit for purpose should be passed on for reuse.
If your toys and games are beyond repair, it may still be possible to recycle some of the parts if you dismantle them.
This includes batteries and battery packs from remote controls which should be removed and recycled.
For details of items accepted at your local Civic Amenity Site, check the Waste Services Locator on this site."
White goods,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Mirrors,"What?
This is furniture / a bulky item
Where?
This should be brought to a designated civic amenity site, check the waste services locator on this site. map for details.
How?
Furniture at the end of its useful life can often be recycled, especially items made from wood and metal. Mirrors or other decorative items in good condition can be donated to charity or to upcycling projects. More information about upcycling projects can be found at http://www.crni.ie
 
General Comment / Tip
If you have a piece of furniture that is still usable, you could consider selling it, passing it on to someone else or donating it – some charity shops and most upcycling projects accept furniture for resale."
Nappies (disposable),"What?
Disposable nappies are made of many materials and are not recyclable.
 
Where?
When soiled, disposable nappies should be placed in the general waste bin.
 
General Comment / Tip
An alternative is to use cloth nappies. Additional information form http://www.babymarket.ie"
Oven,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Christmas trees (Fake),"What?
Fake Christmas trees are made of many types of material which generally renders them unsuitable for recycling.
Many trees of this type are reused over and over.
Where?
When no longer fit for purpose, fake Christmas trees should be placed in the general waste bin for disposal."
Lamps,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
